LATEST_EXTRACTED_SEQUENCE,LAST_EXTRACTED_DATE,ENTITY_NAME
0,,CUSTOMER
0,,CUSTOMER ATTRIBUTE
0,,CUSTOMER VALUE
0,,CRM
0,,CUSTOMER REACTION
